,Dataset,Model,Next Step,Next Resource,Last Resource,Outcome,Next relative Timestamp,Duration to Outcome,Activity Suffix,Resource Suffix
0,Helpdesk,Evermann,0.5291666388511658,0.22440476715564728,0.8107143044471741,0.9940476417541504,,,,
1,Helpdesk,Tax_Spezialized,0.7883928418159485,,,0.9940476417541504,7.722564220428467,7.286618709564209,,
2,Helpdesk,Tax_Shared,0.7961309552192688,,,0.9940476417541504,5.0244574546813965,6.57321834564209,,
3,Helpdesk,Tax_Mixed,0.30148810148239136,,,0.9940476417541504,14.840574264526367,7.1628875732421875,,
4,Helpdesk,Camargo_Spezialized,0.788095235824585,0.3723214268684387,0.8107143044471741,0.9940476417541504,7.5305609703063965,6.485199928283691,,
5,Helpdesk,Camargo_concat,0.7883928418159485,0.43244048953056335,0.8107143044471741,0.9940476417541504,7.665951728820801,6.510575294494629,,
6,Helpdesk,Camargo_fullconcat,0.7869047522544861,0.43244048953056335,0.8107143044471741,0.9940476417541504,5.660135269165039,7.178350448608398,,
7,Helpdesk,MiDA,0.7946428656578064,0.21369047462940216,0.8107143044471741,0.9940476417541504,4.900913238525391,6.51748514175415,,
8,Helpdesk,MPPN,0.8023809790611267,0.6931547522544861,0.8389880657196045,0.9940476417541504,5.472012996673584,6.850050926208496,,
9,Mobis,Evermann,0.9034861326217651,0.16291901469230652,0.07450642436742783,0.797977864742279,,,,
10,Mobis,Tax_Spezialized,0.7984563112258911,,,0.797977864742279,4.517295837402344,27.97907829284668,,
11,Mobis,Tax_Shared,0.9068669676780701,,,0.797977864742279,3.5680789947509766,20.56488609313965,,
12,Mobis,Tax_Mixed,0.8546550273895264,,,0.797977864742279,1.8495521545410156,21.95924186706543,,
13,Mobis,Camargo_Spezialized,0.9055273532867432,0.16291901469230652,0.07450642436742783,0.797977864742279,4.6991376876831055,30.60668182373047,,
14,Mobis,Camargo_concat,0.885593056678772,0.16291901469230652,0.07450642436742783,0.797977864742279,4.412937164306641,30.329822540283203,,
15,Mobis,Camargo_fullconcat,0.8519120812416077,0.16291901469230652,0.07450642436742783,0.797977864742279,3.749937057495117,24.489727020263672,,
16,Mobis,MiDA,0.7924281358718872,0.16291901469230652,0.07450642436742783,0.797977864742279,2.7926185131073,25.313901901245117,,
17,Mobis,MPPN,0.9375498294830322,0.5642841458320618,0.15602973103523254,0.8089497089385986,4.9411234855651855,21.29085350036621,,
18,BPIC12,Evermann,0.7440459132194519,0.14904165267944336,0.1721937507390976,0.4166666567325592,,,,
19,BPIC12,Tax_Spezialized,0.3891972601413727,,,0.4166666567325592,0.5909034609794617,7.485484600067139,,
20,BPIC12,Tax_Shared,0.8350887298583984,,,0.5004744529724121,0.3935798108577728,6.613137722015381,,
21,BPIC12,Tax_Mixed,0.751518189907074,,,0.4166666567325592,0.3821791112422943,6.814591407775879,,
22,BPIC12,Camargo_Spezialized,0.8229433298110962,0.7481497526168823,0.1721937507390976,0.4166666567325592,0.47012603282928467,7.833602428436279,,
23,BPIC12,Camargo_concat,0.6253439784049988,0.4992171823978424,0.1721937507390976,0.4166666567325592,0.8144270181655884,7.850884437561035,,
24,BPIC12,Camargo_fullconcat,0.7835420966148376,0.14904165267944336,0.1721937507390976,0.4166666567325592,0.8797666430473328,6.85732364654541,,
25,BPIC12,MiDA,0.5334472060203552,0.14904165267944336,0.1721937507390976,0.4166666567325592,0.5673964619636536,6.560317039489746,,
26,BPIC12,MPPN,0.8393111228942871,0.7756903171539307,0.32012051343917847,0.5387845039367676,0.9330153465270996,6.623135566711426,,
27,BPIC12_A,Evermann,0.2720939815044403,0.4697442352771759,0.2373674362897873,0.3756498098373413,,,,
28,BPIC12_A,Tax_Spezialized,0.2720939815044403,,,0.3756498098373413,1.2918500900268555,7.5905537605285645,,
29,BPIC12_A,Tax_Shared,0.7544187903404236,,,0.4912663698196411,1.2485195398330688,7.714565277099609,,
30,BPIC12_A,Tax_Mixed,0.2720939815044403,,,0.3756498098373413,4.039019584655762,9.781530380249023,,
31,BPIC12_A,Camargo_Spezialized,0.46132251620292664,0.4697442352771759,0.2373674362897873,0.3756498098373413,1.6015130281448364,7.708187103271484,,
32,BPIC12_A,Camargo_concat,0.7049282789230347,0.4697442352771759,0.2373674362897873,0.3756498098373413,2.559337854385376,7.715954780578613,,
33,BPIC12_A,Camargo_fullconcat,0.4142233431339264,0.4697442352771759,0.2373674362897873,0.3756498098373413,1.5901539325714111,7.688857555389404,,
34,BPIC12_A,MiDA,0.42763566970825195,0.4697442352771759,0.2373674362897873,0.3756498098373413,1.4078660011291504,7.631849765777588,,
35,BPIC12_A,MPPN,0.7550426125526428,0.6822624206542969,0.3427947461605072,0.521210253238678,1.308639407157898,7.6257829666137695,,
36,BPIC12_O,Evermann,0.666857898235321,0.05947599932551384,0.18148785829544067,0.5109963417053223,,,,
37,BPIC12_O,Tax_Spezialized,0.7827500700950623,,,0.5109963417053223,2.173152446746826,7.88694429397583,,
38,BPIC12_O,Tax_Shared,0.8240581154823303,,,0.5109963417053223,2.1168439388275146,7.628008842468262,,
39,BPIC12_O,Tax_Mixed,0.7768215537071228,,,0.5109963417053223,2.0601556301116943,8.150690078735352,,
40,BPIC12_O,Camargo_Spezialized,0.8240581154823303,0.45037293434143066,0.18148785829544067,0.5109963417053223,2.1841068267822266,8.079076766967773,,
